Name,Address,Bedroom,Bathroom,Total_area,Price
Southgate Altuera Tower Tipe Studio,"Tanjung Barat, Jakarta Selatan",1,1,30 m²," 1,200,000,000"
JUAL Apartemen The Wave 1Bedroom furnish 800 Juta lantai 40 view Epi,"SetiaBudi, Jakarta Selatan",1,1,47 m²," 800,000,000"
Apartemen Siap Huni Di Jaksel - Vasaka Solterra Bebas Biaya - Biaya,"Pejaten Barat, Jakarta Selatan",1,1,26 m²," 1,000,000,000"
Di jual apartemen THE ASPEN PEAK Lt17,Jakarta Selatan,3,2,97 m²," 2,150,000,000"
LRT City Ciracas Tipe Studio,"Ciracas, Jakarta Timur",1,1,24 m²," 625,000,000"
DIJUAL HARGA MODAL APARTEMEN TA RESIDENCE SUDAH SERTIPIKAT SHM,"Tanjung Duren, Jakarta Barat",1,1,26 m²," 848,000,000"
Hunian Dijual di Pusat Jakarta The Elements,"Karet Kuningan, Jakarta Selatan",2,2,96 m²," 4,202,000,000"
JUAL MURAH Studio Tokyo Riverside PIK2 Unit Langka,Jakarta Utara,1,1,21 m²," 268,000,000"
Norrington Suites Apartment Tipe Couple Suites,"Sunter Jaya, Jakarta Utara",1,1,43 m²," 1,434,753,190"
Southgate Prime Tower Tipe 2BR + Maid,"Tanjung Barat, Jakarta Selatan",2,2,122 m²," 3,500,000,000"
South Quarter Residence Tipe 2 BR Corner,"Cilandak, Jakarta Selatan",2,2,86 m²," 3,724,637,590"
LRT City Ciracas Tipe 2 BR-2,"Ciracas, Jakarta Timur",2,1,61 m²," 1,478,000,000"
Southgate Elegance Tower Tipe 1BR + Study,"Tanjung Barat, Jakarta Selatan",1,1,72 m²," 2,700,000,000"
Southgate Elegance Tower Tipe 2BR,"Tanjung Barat, Jakarta Selatan",2,2,103 m²," 3,400,000,000"
Interior Cozy  3BR 182m2 Premium 57 Promenade Cbd Thamrin City View,"Tanah Abang, Jakarta Pusat",3,3,182 m²," 11,000,000,000"
Apartemen Daan Mogot City Tipe 3 Bedroom,"Kalideres, Jakarta Barat",3,2,79 m²," 1,716,373,000"
Apartment Premium di South Quarter Residence,"Cilandak, Jakarta Selatan",1,1,30 m²," 1,286,107,825"
The Elements Apartment Tipe 2 BR,"Karet Kuningan, Jakarta Selatan",2,2,96 m²," 4,200,000,000"
Apartemen Daan Mogot City Tipe Studio,"Kalideres, Jakarta Barat",1,1,25 m²," 616,322,000"
DIJUAL CEPAT B.U APARTMENT 1BR TAMANSARI SEMANGGI NEGO SAMPAI DEAL,"SetiaBudi, Jakarta Selatan",1,1,45 m²," 1,100,000,000"
Apartemen st.moritz 4bd 2 lantai loft mewah furnish,"Kembangan, Jakarta Barat",4,3,245 m²," 7,900,000,000"
Southgate Altuera Tower Tipe 2BR Loft,"Tanjung Barat, Jakarta Selatan",2,1,84 m²," 3,200,000,000"
Apartemen mewah dengan harga special permata hijau pondok indah jakarta selatan,"Pondok Indah, Jakarta Selatan",4,3,208 m²," 6,000,000,000"
"Mau cicilan 3jt an  dengan bebas biaya akad kredit,siap huni","Pasar Rebo, Jakarta Timur",1,1,21 m²," 397,000,000"
Apartemen Mewah Cicilan Panjang Tanpa Bank,"Daan Mogot, Jakarta Barat",1,1,26 m²," 600,000,000"
South Quarter Residence Tipe Dual Key,"Cilandak, Jakarta Selatan",3,3,117 m²," 5,087,191,630"
The elements Apartment Privatelift  harga mulai 4Man,"Kuningan, Jakarta Selatan",2,1,96 m²," 4,169,000,000"
Verde Two Apartment Tipe 3BR,"Kuningan, Jakarta Selatan",3,3,211 m²," 10,410,000,000"
Apartemen di Jantung Kota Jakarta Selatan South Quarter Residence,"Cilandak, Jakarta Selatan",1,1,60 m²," 2,618,738,820"
South Quarter Residence Tipe 2 BR,"Cilandak, Jakarta Selatan",2,2,93 m²," 4,102,912,300"
Dijual Cepat apartemen Satu8 Residence kebon jeruk metro tv,"Kebon Jeruk, Jakarta Barat",3,3,173 m²," 3,450,000,000"
Dijual Murah Thamrin Executive 2Bedroom,"Thamrin, Jakarta Pusat",2,1,61 m²," 1,400,000,000"
South Quarter Residence Tipe 1 BR + Study,"Cilandak, Jakarta Selatan",1,1,60 m²," 2,617,738,820"
Dijual Apartment St Moritz Tower Royal Jakarta Barat,"Puri Indah, Jakarta Barat",2,1,82 m²," 2,000,000,000"
LRT City Ciracas Tipe 2 BR,"Ciracas, Jakarta Timur",2,1,36 m²," 891,000,000"
Southgate Elegance Tower Tipe 2BR + Maid,"Tanjung Barat, Jakarta Selatan",2,2,101 m²," 3,400,000,000"
Southgate Altuera Tower Tipe Studio Loft+,"Tanjung Barat, Jakarta Selatan",1,2,52 m²," 2,400,000,000"
STUDIO UNFURNISHED LANTAI 23 LOKASI STRATEGIS,Jakarta Pusat,1,1,2543 m²," 2,500,000,000"
"Harga miring Apt ST MORITZ Twr New Presidential 192m2(3BR+1),Lt 30an",Jakarta Barat,3,2,192 m²," 4,500,000,000"
Dijual 1BR Tamansari Semanggi Tower A,"SetiaBudi, Jakarta Selatan",1,1,45 m²," 1,100,000,000"
Verde Two Apartment Tipe 2BR,"Kuningan, Jakarta Selatan",2,3,171 m²," 8,530,000,000"
Southgate Prime Tower Tipe 2BR,"Tanjung Barat, Jakarta Selatan",2,2,92 m²," 2,550,000,000"
The Elements Apartment Tipe 3 BR,"Karet Kuningan, Jakarta Selatan",3,2,139 m²," 5,500,000,000"
Jual Apartmen Jakarta Barat  St Moritz Tower The Royal Suite,"Kembangan, Jakarta Barat",3,3,112 m²," 3,025,000,000"
"Newton 1 Ciputra world 2, brand new, UF","SetiaBudi, Jakarta Selatan",1,1,42 m²," 1,800,000,000"
Dijual Apartemen dengan Ruang Hijau South Quarter Residence,"Cilandak, Jakarta Selatan",1,1,30 m²," 1,287,107,825"
Hunian Modern Alami di South Quarter Residence,"Cilandak, Jakarta Selatan",1,1,60 m²," 2,619,738,820"
Dijual Apartemen dengan Ruang Hijau South Quarter Residence,"Cilandak, Jakarta Selatan",1,1,30 m²," 1,287,107,825"
Dijual Apartemen Modern di The Elements,"Karet Kuningan, Jakarta Selatan",3,2,139 m²," 5,501,000,000"
Apartemen 1.3 M an di South Quarter Residence,"Cilandak, Jakarta Selatan",3,3,117 m²," 5,089,191,630"
JUAL Apartemen Belleza Permata Hijau 2Bed furnish 2.850 M lantai 23,"Kebayoran Lama, Jakarta Selatan",2,2,121 m²," 2,850,000,000"
